entity,category1,category2,percent1,percent2,sentence,entity_start,entity_end
el,ORG,LOC,75,25,"Praegu 15-liikmelise EL-i välisministrid pidasid eile eraldi kõneluste avatseremooniad oma kolleegidega Lätist , Leedust , Slovakkiast , Bulgaariast , Rumeeniast ja Maltalt .",21,25
el,ORG,LOC,75,25,"EL-i välisministrite esmaspäeval alanud kahepäevast kohtumist Brüsselis on varjutanud pinged Austria uue valitsuskoalitsiooni üm-ber , kuna EL-i kõik ülejäänud liikmesriigid on kes vähem , kes rohkem kärpinud kontakte Austria esindajatega - põh-juseks paremäärmuslikuks tembeldatud , immigrantidevastaseks ja muu hulgas ka EL-i laienemise vastaseks nimetatud Jörg Haideri Vabaduspartei osalus valitsuses .",0,4
el,ORG,LOC,75,25,"Ei , minul ei oleks midagi selle vastu , et Leedu on koos meiega EL-is .",65,70
el,ORG,LOC,75,25,"“ Mina esindan seal ELiga liituvaid riike , ” ütles praegu Kreekas puhkusereisil viibiv Nurm .",20,25
el,ORG,LOC,75,25,"Euroopa Komisjoni esindajad on öelnud , et üldise administratiivse suutlikkuse ja järelevalve tõhususe kasv on vajalik nii praeguste ELi toetusprogrammide kui uue liikmesriigina ELi eelarvest saadava raha sihipärase kasutamise tagamiseks .",133,136
el,ORG,LOC,75,25,"Euroopa Komisjoni esindajad on öelnud , et üldise administratiivse suutlikkuse ja järelevalve tõhususe kasv on vajalik nii praeguste ELi toetusprogrammide kui uue liikmesriigina ELi eelarvest saadava raha sihipärase kasutamise tagamiseks .",178,181
el,ORG,LOC,75,25,ELi eelarvest laekuv raha võiks moodustada umbes viis protsenti meie SKTst .,0,3
el,ORG,LOC,75,25,Just päev enne seda - 14. detsembril - vahendati mõjuka Briti päevalehe “ Financial Times ” esiküljel Saksamaa kahtlusi Balti riikide ELi vastuvõtmise üle .,134,137
el,ORG,LOC,75,25,"Usun , et ka Euroopa Parlamendi liikmed saavad peagi aru , et saavutatud kokkuleppe suur pluss on ühise tegutsemistahte leidmine ja EL-i kodanikele positiivse signaali andmine , ning kinnitavad kokkuleppe suuremate vaidlusteta .",132,136
el,ORG,LOC,75,25,Muidu ei häiri mõnede EL-i riikide omavaheline tihedam koostöö kedagi .,22,26
el,ORG,LOC,75,25,"Kogu EL-i huvides on aga see , et soovijad saaksid enda poolt valitud valdkondades edasi minna .",5,9
el,ORG,LOC,75,25,Eesti pürib aktiivselt kahte EL-is eksisteerivasse rühma : eurotsoon ja Schengeni grupp .,29,34
el,ORG,LOC,75,25,Kõigepealt edasise integratsiooni toetamisega EL-is tervikuna .,46,51
el,ORG,LOC,75,25,ELi usaldusväärse statistikata ei pääse,0,3
el,ORG,LOC,75,25,"Alliansi peasekretär sõnas , et Balti riikidele on ELi laienemine väga tähtis ka julgeolekupoliitilisest aspektist ja seepärast on ELi detsembrikuised otsused igati tervitatavad .",51,54
el,ORG,LOC,75,25,"Alliansi peasekretär sõnas , et Balti riikidele on ELi laienemine väga tähtis ka julgeolekupoliitilisest aspektist ja seepärast on ELi detsembrikuised otsused igati tervitatavad .",131,134
el,ORG,LOC,75,25,"Samuti polevat ettepanek nende sõnul koos-kõlas EL-i ühinemislepingutega , mille kohaselt vastutab eelarve täitmise eest komisjon .",48,52
el,ORG,LOC,75,25,"Need riigid alustavad EL-i esindajatega arutelusid , mis peavad viima EL-iga ühinemiseks vajalike poliitiliste , majanduslike , seadusandlike ja muude tingimuste täitmiseni .",22,26
el,ORG,LOC,75,25,"Need riigid alustavad EL-i esindajatega arutelusid , mis peavad viima EL-iga ühinemiseks vajalike poliitiliste , majanduslike , seadusandlike ja muude tingimuste täitmiseni .",70,76
el,ORG,LOC,75,25,"Juba kahe aasta eest tegi EL samalaadsete läbirääkimistega algust Eesti , Tshehhi , Ungari , Poola , Sloveenia ja Küprosega .",26,28
el,ORG,LOC,75,25,"EL-i välisministrite esmaspäeval alanud kahepäevast kohtumist Brüsselis on varjutanud pinged Austria uue valitsuskoalitsiooni üm-ber , kuna EL-i kõik ülejäänud liikmesriigid on kes vähem , kes rohkem kärpinud kontakte Austria esindajatega - põh-juseks paremäärmuslikuks tembeldatud , immigrantidevastaseks ja muu hulgas ka EL-i laienemise vastaseks nimetatud Jörg Haideri Vabaduspartei osalus valitsuses .",140,144
el,ORG,LOC,75,25,"EL-i välisministrite esmaspäeval alanud kahepäevast kohtumist Brüsselis on varjutanud pinged Austria uue valitsuskoalitsiooni üm-ber , kuna EL-i kõik ülejäänud liikmesriigid on kes vähem , kes rohkem kärpinud kontakte Austria esindajatega - põh-juseks paremäärmuslikuks tembeldatud , immigrantidevastaseks ja muu hulgas ka EL-i laienemise vastaseks nimetatud Jörg Haideri Vabaduspartei osalus valitsuses .",323,327
el,ORG,LOC,75,25,"Küll aga on nelja kandidaatriigiga piirneva Austria soov seada piir-määr idaeurooplastest tööliste puhul , kes pääseksid EL-i maadesse raha teenima .",121,125
el,ORG,LOC,75,25,"EL pole omalt poolt seadnud tähtaega , millal lastakse uustulnukad EL-i vabale tööturule ja ka igas muus mõttes liikmeks vastu võetakse .",0,2
el,ORG,LOC,75,25,"EL pole omalt poolt seadnud tähtaega , millal lastakse uustulnukad EL-i vabale tööturule ja ka igas muus mõttes liikmeks vastu võetakse .",67,71
el,ORG,LOC,75,25,"Siiski on EL teada andnud , et enne 2003. aasta 1. jaanuari ei võeta vastu kedagi , niisamuti kui ka enne seatud tingimustele vastamist .",10,12
el,ORG,LOC,75,25,"Euroopa Liit alustas aastapikkuseks kavandatud valitsustevahelist konverentsi , mis peab töötama välja suurenenud liikmeskonnaga liidu toimimismudeli , enne kui EL üldse laienema hakkab .",161,163
el,ORG,LOC,75,25,Teiseks otsustamist vajavaks probleemiks on EL-i juhtimisstruktuur ja eelkõige liikmesriikide esindatus .,44,48
el,ORG,LOC,75,25,"Kui praegu on igal riigil üks või kaks esindajat EL-i täidesaatvaks võimuorganiks , peaaegu et valitsuseks peetavas Euroopa Komisjonis , kus nad vastutavad mõne kindla ala eest , siis liikmeskonna laienedes läheks olukord raskeks .",49,53
el,ORG,LOC,75,25,"- Põllumajanduslik keskkonnatoetus on ainus maaelu arengu meede , mis kõigile EL maadele kohustuslik on .",78,80
el,ORG,LOC,75,25,"Presidendi sõnad , et EL on meie esimene prioriteet , ütlevad liiga vähe kujundamaks või muutmaks oma arvamust .",22,24
el,ORG,LOC,75,25,Oleks viimane aeg alustada koolides põhjaliku selgitustööga - miks tahab Eesti ELi astuda ja kas sellega kaasneb üldse märkimisväärset kahju .,79,82
el,ORG,LOC,75,25,"Selline hulgihind on EL-i maksude tõttu täiesti reaalne , "" ütles Antomin AS-i müügijuht Kalle Jaarman ja lisas , et iga tonn suhkrut sisaldab endas 563 euro eest erinevaid EL-i makse ning neile lisanduvad veel kaupluse protsendid ja käibemaks .",21,25
el,ORG,LOC,75,25,"Selline hulgihind on EL-i maksude tõttu täiesti reaalne , "" ütles Antomin AS-i müügijuht Kalle Jaarman ja lisas , et iga tonn suhkrut sisaldab endas 563 euro eest erinevaid EL-i makse ning neile lisanduvad veel kaupluse protsendid ja käibemaks .",173,177
el,ORG,LOC,75,25,""" Hinnakujundus on vaba ning kui ettevõte plaanib 1. maist suhkru hinda reklaamis lubatud tasemele tõsta , siis tarbija eksitamisega tegemist ei ole , "" ütles tarbijakaitse pressiesindaja Kristina Vaksmaa ja lisas , et EL-iga ühinemise tõttu esineb siiski põhjendamatut paanika tekitamist hindade osas palju .",219,225
el,ORG,LOC,75,25,""" Suhkur on toiduaine , mille hind kallineb EL-iga liitudes kindlasti tänu seal kehtestatud maksudele hüppeliselt ja kordades .",44,50
el,ORG,LOC,75,25,"Selleks on kaks põhjust - hakkab kehtima ligi 7-kroonine tollimaks iga EL-i toodava suhkrukilo kohta ja teiseks ei subsideeri EL enam Eestisse toodavat suhkrut , "" rääkis EL-i teabetalituse nõunik Paavo Palk .",71,75
el,ORG,LOC,75,25,"Selleks on kaks põhjust - hakkab kehtima ligi 7-kroonine tollimaks iga EL-i toodava suhkrukilo kohta ja teiseks ei subsideeri EL enam Eestisse toodavat suhkrut , "" rääkis EL-i teabetalituse nõunik Paavo Palk .",126,128
el,ORG,LOC,75,25,"Selleks on kaks põhjust - hakkab kehtima ligi 7-kroonine tollimaks iga EL-i toodava suhkrukilo kohta ja teiseks ei subsideeri EL enam Eestisse toodavat suhkrut , "" rääkis EL-i teabetalituse nõunik Paavo Palk .",171,175
el,ORG,LOC,75,25,Teabetalituse nõuniku teada ei ole EL-is kehtestatud kõigile kodumasinatele 14-protsendilist tollimäära .,35,40
el,ORG,LOC,75,25,"Teine asi on , et EL on muutunud asjaks , mille vastu tuntakse huvi .",18,20
el,ORG,LOC,75,25,"Võimalik sanktsioon puudutab nii toorpuitu kui tooteid , sest Kuuba hinnangul ei ole ELi jaoks vahet , kas tegemist on illegaalse puiduga või tootega , mis on valmistatud illegaalsest materjalist .",85,88
el,ORG,LOC,75,25,"Metsaosakonna juhataja sõnul võivad ELi sanktsioonid ju tekkida , kuid ta ei kujuta neid hästi ette .",36,39
el,ORG,LOC,75,25,"Kaul Nurme sõnul tekkis Ateenas Euroopa Põllumajandusorganisatsioonide Liidu ( CEA ) nõukogu istungil idee , et CEA peaks sulanduma ELi põllumajandusorganisatsioonide COPA ja COGECA struktuuridesse nii , et moodustuks uus Euroopa põllumeeste organisatsioon .",132,135
el,ORG,LOC,75,25,"EList väljaspool olevate põllumeeste huve kaitseb Norra talunike , kandidaatriikide poolt Türgi esindaja .",0,5
el,ORG,LOC,75,25,"“ Kuluaarides arutleti ka selle üle , kuidas ELi liituvad riigid , kel üldse raha ei ole , saaksid olla ELi põllumajandusorganisatsioonide liikmed , ” rääkis Haak .",45,48
el,ORG,LOC,75,25,"“ Kuluaarides arutleti ka selle üle , kuidas ELi liituvad riigid , kel üldse raha ei ole , saaksid olla ELi põllumajandusorganisatsioonide liikmed , ” rääkis Haak .",104,107
el,ORG,LOC,75,25,Igal aastal sureb suitsetamise tagajärjel 500 000 EL-i kodanikku .,50,54
el,ORG,LOC,75,25,"EL-i tervisekaitsevolinik David Byrne loodab , et tubakareklaami keeld jõustub juba aastaks 2004.",0,4
el,ORG,LOC,75,25,Ida-Euroopa maade esikolmikust paremini on ELi astumiseks majanduslikult valmis Malta ja Küpros .,43,46
el,ORG,LOC,75,25,"Riigikogu on Eesti seaduseid ELi õigusaktidega ühtlustades teinud head tööd , kuid seaduste rakendamine kulgeb liiga aeglaselt , sest mitmed riigistruktuurid pole piisavalt arenenud .",29,32
el,ORG,LOC,75,25,"Ühtsetel standarditel on ELis keskne koht , sest just nende abil tagatakse ohutus- , hügieeni- ja muude nõuete ühtlustamine , mis on eeldus kaupade vabale liikumisele ELi liikmesriikide vahel .",25,29
el,ORG,LOC,75,25,"Ühtsetel standarditel on ELis keskne koht , sest just nende abil tagatakse ohutus- , hügieeni- ja muude nõuete ühtlustamine , mis on eeldus kaupade vabale liikumisele ELi liikmesriikide vahel .",167,170
el,ORG,LOC,75,25,"Riigikogu on tänavu võtnud vastu mitu õigusakti , mis peaksid kiiresti parandama Eesti valmisolekut rakendada ELi siseturu reegleid .",110,113
el,ORG,LOC,75,25,"Euroopa Komisjon märgib , et hoolimata selle aasta esimesel poolel toimunud tootmise langusest on Eesti eksport ELi kasvanud .",112,115
el,ORG,LOC,75,25,"ELi analüütikud tõstavad esile eelarvepuudujäägi vähendamiseks tehtud samme , märgivad makromajandusliku stabiilsuse suurenemist , rahandussektori tugevnemist ja jätkuvat atraktiivsust välisinvestorite silmis .",0,3
el,ORG,LOC,75,25,"Nädala eest avatud veebilehel europa.eu.int / eures avaldatakse kõik töövõimalused , millest teatavad nii EL-i kui ka ülejäänud Euroopa tööhõivetalitused .",106,110
el,ORG,LOC,75,25,"EL-iga ühinemist ei saa taandada pelgalt välispoliitiliseks valikuks , see on ka majanduspoliitika , väärtushinnangute ja kultuurikonteksti valik .",0,6
el,ORG,LOC,75,25,"Kui selle taga on ainult soov võimalikku eurovastaste ringi laiendada ( "" Pole saladus , et nii suur mittekodanike arv nagu Eestis , on EL-i riikidel ammugi pinnuks silmas .",136,140
el,ORG,LOC,75,25,"Kui aga Rootsil on mõttes Suurbritannia-laadsed püüdlused , et uute liikmesmaade vastuvõtu abil nõrgestada ELi nii palju kui võimalik , oleks see väga kurb , "" tõdes Prodi .",107,110
el,ORG,LOC,75,25,Kaalutakse ka võimalust kaasata ELi vahendeid .,32,35
el,ORG,LOC,75,25,"Ikka nendesamade kodanike pärast , kes väärivad EL-i häid sõnumeid .",48,52
el,ORG,LOC,75,25,"See ongi EL-i mõistmise võti : riigid on tahtnud midagi koos teha , mingid elualad ühise juhtimise alla loovutada , mingites küsimustes ühistegevusest lisaväärtust otsida .",9,13
el,ORG,LOC,75,25,"EL-i tugevust näitab see , mida ja kui palju koos tahetakse teha .",0,4
el,ORG,LOC,75,25,"EL-i edukuse mõõt on liikmesriikide ühise tahte määr , mitte Brüsseli poolt jagatavate summade suurus või proportsioonid riigiti .",0,4
el,ORG,LOC,75,25,"Kui hakata EL-i hindama rahalistes terminites , jõuame kiiresti intellektuaalse ja poliitilise lõksuni , millest on väga keeruline välja tulla .",11,15
el,ORG,LOC,75,25,"Nendele küsimustele üritavad peamiselt vastata EL-i enda institutsioonid ( komisjon ja europarlament ) , mis teisalt on muidugi ka loogiline .",47,51
el,ORG,LOC,75,25,Sest EL-i tugevus peitub selle liikmete tahtes võimalikult palju asju koos teha ja poliitikaid ühendada .,5,9
el,ORG,LOC,75,25,Nii peaminister Andrus Ansip kui ka välisminister Urmas Paet on avaldanud toetust EL-i tihedamale koostööle .,82,86
el,ORG,LOC,75,25,"Esimese hooga pole vaja vastust kaugelt otsida : inimeste , teenuste , kapitali ja kaupade täiesti vaba liikumise tagamine EL-i sees .",123,127
el,ORG,LOC,75,25,"Tõeline koostöö tähendab seda , et iga EL-i kodanik saab naaberriigis eripiiranguteta ettevõtte asutada .",39,43
el,ORG,LOC,75,25,"EL hõlmab nii suurt hulka elualasid , et kaasamõtlemise võimalusi jätkub paljudele ühiskonnagruppidele .",0,2
el,ORG,LOC,75,25,See omakorda aitaks taotleda rohkem vahendeid EL-i fondidest .,46,50
el,ORG,LOC,75,25,"Kõik ettevõtjad , kes mõtlevad teenuste ekspordile , peaksid olema huvitatud sellest , et EL suudaks teenuste direktiiviga edasi minna .",90,92
el,ORG,LOC,75,25,"Kõik Eesti inimesed , kes oma maju gaasiga kütavad , peaksid olema huvitatud EL-i ühtsest energiapoliitikast .",77,81
el,ORG,LOC,75,25,"See kõik eeldab suhtumist EL-i kui ühendusse , kuhu me orgaaniliselt kuulume ja mida pole vaja peljata .",26,30
el,ORG,LOC,75,25,"See eeldab äratundmist , et tugevam EL on Eesti huvides .",36,38
el,ORG,LOC,75,25,""" Kui Rootsi lähtub soovist tagada Euroopas rahu ja stabiilsust , siis on Rootsi ELi kiire laiendamise püüd arusaadav .",81,84
el,ORG,LOC,75,25,"Peale kaitseministri säilitasid kohad ka majandus- ja kaubandusminister German Gref ja rahandusminister Aleksei Kudrin ehk tegelased , keda kõiki peeti ka võimalikeks kandidaatideks valitsusjuhi kohale , enne kui Putin valis sinna üllatuslikult senise saadiku EL-is Fradkovi .",260,265
raadi,LOC,ORG,75,25,Raadi lennuvälja ja selle lähialade valmiv üldplaneering on järjekordne samm Tartu lennujaama toomisel Ülenurmelt Raadile .,0,5
raadi,LOC,ORG,75,25,"Üldplaneering peab täpsustama Raadi lennujaama teenindusmaa , määrama kavandatava lennujaamaga seotavate äri- ja tootmisobjektide teenindusmaa piirid , samuti elamumaa piirid , selguma peaksid ka lennujaama tegevusest tulenevad kitsendused .",30,35
raadi,LOC,ORG,75,25,"Tartu abilinnapea Anto Ili ütleb , et üldplaneeringut on vaja selleks , et ükskord saaksid otsa lõputud vaidlused ja peataolek Raadi lennuvälja tuleviku küsimuses .",127,132
raadi,LOC,ORG,75,25,"Oleme alustanud Raadi puhke- ja tervise- ning tehnikaspordipiirkonna loomist , ” selgitab Ili .",16,21
raadi,LOC,ORG,75,25,"“ Raadi piirkonda tuleb vaadelda ühtses kontekstis , sestap hõlmabki üldplaneering märksa suuremat maa-ala .",2,7
raadi,LOC,ORG,75,25,"Mati Meos on veendunud , et aastaks 2000 on Tartu lennujaam Raadil .",60,66
raadi,LOC,ORG,75,25,"Tartu linnavalitsus on juba kiitnud heaks idee ehitada praeguse Raadi mõisa külje alt Kõrvekülani viiv Narva maantee pikendus , mille äärde peaksid tulema terminaal ja muud lennuväljahooned , samuti seisu- ja parkimiskohad .",64,69
raadi,LOC,ORG,75,25,Lennunduse juhtivtöötajate möödunudsügisese seminar-nõupidamise otsuses seisab kirjas soovitus viia Tartu piirkonna lennundustegevus üle Raadi lennujaama .,137,142
raadi,LOC,ORG,75,25,"“ Raadil pole praegu lennujaama hoonetki , rääkimata rajaseadmetest , ” tuletab Mark meelde .",2,8
raadi,LOC,ORG,75,25,"“ On küll jutt , et Raadil on tohutu perspektiiv ja Ülenurmel pole , aga mina pole siiani aru saanud , milline see Raadi perspektiiv on , ” lisab ta .",20,26
raadi,LOC,ORG,75,25,"“ On küll jutt , et Raadil on tohutu perspektiiv ja Ülenurmel pole , aga mina pole siiani aru saanud , milline see Raadi perspektiiv on , ” lisab ta .",115,120
raadi,LOC,ORG,75,25,Mark ei usu Raadi lennuvälja perspektiivikusse ei kaubalennuväljana ega Tallinna varulennuväljana .,12,17
raadi,LOC,ORG,75,25,"Kui siin oleks Ülemiste varulennuväli , peaks selle varustatus olema samaväärne , Raadi peaks ööpäev läbi olema valmis varulennuväljana toimima .",82,87
raadi,LOC,ORG,75,25,"Üks vihasemaid Raadi lennujaama vastu võitlejaid on akadeemik Anto Raukas , kelle isale kuulus Raadil 25 hektarit talumaad .",15,20
raadi,LOC,ORG,75,25,"Raukas on Äripäevale öelnud , et ta pole Raadi lennuvälja vastu .",41,46
raadi,LOC,ORG,75,25,"Kui see raha õnnestuks kokku saada , võiks aasta hiljem olla Tartu lennujaam juba Raadil .",82,88
raadi,LOC,ORG,75,25,"Teisalt saaksime selle 32 miljoniga , mida Raadi tahab alustamiseks , meie oma lennuvälja absoluutselt korda .",43,48
raadi,LOC,ORG,75,25,Mark toob argumendiks ka Raadi lennuvälja talvise rajahoolduse suurema maksumuse .,25,30
raadi,LOC,ORG,75,25,"Olemasoleva tehnikaga saame meie oma raja puhtaks 2-3 tunniga , Raadi kaks korda pikema ja kaks korda laiema raja puhastamiseks kuluks sama tehnikaga päev .",64,69
raadi,LOC,ORG,75,25,"Mati Meos seevastu ei näe ühtki põhjust , miks riik Raadi lennuvälja käivitamiseks järgnevail aastail raha ei peaks andma .",52,57
raadi,LOC,ORG,75,25,"“ Raadi lennujaam pole seda 10 miljonit seni veel näinud , ” ütleb ta .",2,7
raadi,LOC,ORG,75,25,"Andrus Reinsoni sõnul oli Raadi lennuvälja eelmise aasta käive ligi viis miljonit krooni , mis tuli valdavalt mitteeluruumide rendist .",26,31
raadi,LOC,ORG,75,25,Riigieelarvest pole Raadi lennuvälja enne tänavust aastat finantseeritud .,20,25
raadi,LOC,ORG,75,25,"“ Olen veendunud , et kroon , mis on investeeritud Raadi lennuvälja parendamisse , võib kunagi ära tasuda , ” ütleb Reinson .",51,56
raadi,LOC,ORG,75,25,"“ Ülenurme lennujaam võib opereerida väiksemate kuludega , aga tõenäosus , et sinna investeeritud raha end kunagi tagasi hakkab teenima , on väiksem kui Raadil .",153,159
raadi,LOC,ORG,75,25,Tartu maakonna äsjavalminud planeering aastani 2015 jätab ruumi nii Raadi kui ka Ülenurme lennuväljale .,68,73
raadi,LOC,ORG,75,25,Oluline osa Raadi lennujaamast on kolmekilomeetrine maandumisrada ja ruleerimisrajad .,12,17
raadi,LOC,ORG,75,25,"Uurimuse kohaselt on Raadil perspektiiv ainult siis , kui sealtkaudu käib kaupade transiit , ümberkomplekteerimine ja edasivedu .",21,27
raadi,LOC,ORG,75,25,Raadi lennuvälja halb tehniline ja keskkonnaseisund on üldteada .,0,5
raadi,LOC,ORG,75,25,"Haapsalu ja Raadi tugevalt reostunud ning tehniliselt ülihalvas seisukorras lennuväljad on majanduslikult perspektiivitud ja mida rutem neile uus kasutusala leitakse , seda parem .",12,17
raadi,LOC,ORG,75,25,"Ma täiesti mõistan , et esimene assotsiatsioon , mis tartlastel Raadi lennuväljaga seostub , on suur müra ja keskkonnareostus .",64,69
raadi,LOC,ORG,75,25,"Olgu siis Ülenurmel , kus praegu on olemas infrastruktuur , või tulevikus Raadil .",74,80
raadi,LOC,ORG,75,25,"Enne otsustamist tahaksin näha investeeringute kava ja teada vajalikke summasid ning ka seda , millistest allikatest Raadi lennuvälja käivitamist rahastatakse .",117,122
raadi,LOC,ORG,75,25,"Praegu on olemas Ülenurme lennuväli ja Raadi lennuvälja pole olemas , see on minu vastus .",39,44
raadi,LOC,ORG,75,25,"Investeerimiskava lähtus põhimõttest finantseerida Ülenurme lennutegevuse säilitamist kolimisperioodil ( 1,065 miljoni krooniga ) ja Raadil tehtavaid ettevalmistustöid ( 8,935 miljoni krooniga ) .",133,139
raadi,LOC,ORG,75,25,Raadi ideed,0,5
raadi,LOC,ORG,75,25,"Suhteliselt uus spordiala , mida saaks tuulisel ja suure territooriumiga Raadil viljelda .",73,79
raadi,LOC,ORG,75,25,Ja muidugi rongkäik ja Raadi külastamine .,23,28
raadi,LOC,ORG,75,25,Muinsuskaitsepäevade finaaliks oli planeeritud ekskursioon Raadi lossi juurde .,59,64
raadi,LOC,ORG,75,25,"Mart Laar : Mina laulsin Raadil , sinimustvalge rinnas , ja mulle tuli vastu Viktor .",25,31
raadi,LOC,ORG,75,25,Neljahektariline territoorium on välja valitud Raadi lennuväljal praeguse autoturu naabruses .,47,52
raadi,LOC,ORG,75,25,"Täitevameti peadirektor Olavi Israel on seisukohal , et Raadi on tulevaseks vanglaks siiski sobivaim koht .",56,61
raadi,LOC,ORG,75,25,Filmis kestab see stseen vaid paarikümmend sekundit ... Raadi häälest on kosta kergendust .,56,61
